City,Amount,Latitude,Longitude
"Merta City, India",814071,26.6480362,74.0335019
"Mhow Cantonment, India",1218263,,
"Mihijam, India",1056732,23.8526044,86.8788101
"Mira-Bhayandar, India",667934,19.2883976,72.8653624
"Miryalaguda, India",455411,16.8710119,79.5617353
"Modasa, India",1706364,23.4634245,73.2990631
"Modinagar, India",642762,28.8261624,77.54165604660876
"Moga, India",838638,30.7839866,75.16057422541162
"Mohali, India",1692412,30.7041168,76.7176885
"Mokameh, India",708281,25.4058043,85.89155425304008
"Mokokchung, India",1886399,26.4795861,94.51052754768273
"Moradabad, India",1272425,28.8638424,78.80577833091104
"Morena, India",1196599,26.166667,77.5
"Morshi, India",884697,21.33032905,78.0110895246803
"Morvi, India",445838,25.26490965,82.98577262135697
"Motihari, India",1620225,26.66951195,84.95741062485514
"Mudalagi, India",903660,16.3367271,74.9682914
"Muddebihal, India",1662729,16.3284481,76.1283489
"Mudhol, India",819943,16.3338591,75.2870794
"Muktsar, India",1101316,30.283140099999997,74.52299719797392
"Mulbagal, India",328739,13.1626004,78.3958998
"Mundi, India",360142,25.4695463,76.3734555
"Mungeli, India",972383,22.0661098,81.6874282
"Munger, India",795135,25.22081165,86.51720367235285
"Murshidabad, India",515741,24.1745993,88.2721335
"Murtijapur, India",1207327,20.7346452,77.3699281
"Murwara (Katni), India",539348,23.8339621,80.392456
"Musabani, India",1149320,22.55868615,86.40966796396881
"Mussoorie, India",202987,30.4569012,78.0782906
"Muvattupuzha, India",1612351,9.9269213,76.5634782925112
"Muzaffarpur, India",1084256,26.1486581,85.34001282479626
"Mysore, India",551639,12.3051828,76.6553609
"Nabadwip, India",876276,23.3889007,88.37243900644481
"Nabarangapur, India",325320,19.60962325,82.29876854111501
"Nabha, India",1096714,30.3739948,76.1528674
"Nadbai, India",1149598,27.2156849,77.1982449
"Nadiad, India",909064,22.6895535,72.8713603
"Nagaon, India",958952,26.30414915,92.71605974430346
"Nagapattinam, India",615927,10.805627600000001,79.824659783024
"Nagari, India",754037,13.31217355,79.59793429354428
"Nagarkurnool, India",906501,16.415762649999998,78.68304333132829
"Nagaur, India",1747018,27.0607859,74.17667537582712
"Nagda, India",865577,23.587548050000002,75.67567912676502
"Nagercoil, India",1280646,8.1880471,77.4290492
"Nagina, India",233518,29.538422,78.51514669104847
"Nagpur, India",789262,21.1498134,79.0820556
"Nahan, India",1322988,30.56256885,77.25728516676574
"Naharlagun, India",618347,27.1032229,93.6923098
"Naidupet, India",1125727,13.9289023,79.83247910637009
"Naihati, India",1458235,22.8886213,88.4239345
"Naila Janjgir, India",1559377,22.0229287,82.565318
"Nainital, India",1679383,29.29478295,79.41548093726253
"Najibabad, India",748980,29.607202100000002,78.28537443588678
"Nakodar, India",332270,31.1264364,75.4761382
"Nalbari, India",95321,26.42386165,91.45122754621168
"Namakkal, India",774306,11.284224850000001,78.16615283668403
"Nanded-Waghala, India",1778048,19.169335,77.311013
"Nandivaram-Guduvancheri, India",662522,,
"Nandura, India",231015,20.81284715,76.389607576366
"Nandurbar, India",1184443,21.365998949999998,74.28400358178766
"Nandyal, India",902981,15.475377349999999,78.47855756523148
"Nangal, India",639699,31.3837484,76.3754353
"Nanjangud, India",681079,12.1276786,76.6811152
"Nanjikottai, India",855239,10.7532804,79.1393057
"Nanpara, India",1051723,28.03279355,81.37828094433695
"Narasapuram, India",504137,16.4386275,81.7015011
"Narasaraopet, India",398271,16.2389242,80.0472879
"Narayanpet, India",859906,16.700551750000002,77.61648447017446
"Nargund, India",592116,15.7220381,75.3846247
"Narkatiaganj, India",693684,27.096888149999998,84.4585344292079
"Narnaul, India",1111117,27.997083250000003,76.0757621771358
"Narsinghgarh, India",1814501,23.709099,77.088747
"Narsipatnam, India",571349,17.64070945,82.61598715403707
"Narwana, India",536252,29.58437455,76.07577670844161
"Nashik, India",681012,20.0112475,73.7902364
"Nasirabad, India",1636296,26.297039,74.7369464
"Nathdwara, India",256371,24.9303453,73.8224937
"Naugachhia, India",905799,25.421416,87.09090821768987
"Naugawan Sadat, India",1235124,29.0031366,78.4045848
"Nautanwa, India",2072550,27.30068725,83.44904972788568
"Navi Mumbai, India",1290316,19.0308262,73.0198537
"Navsari, India",1274466,20.952407,72.9323831
"Nawabganj, India",325866,28.4917016,79.6487272441984
"Nawada, India",698299,24.818123999999997,85.5185562336921
"Nawanshahr, India",1369254,31.126888899999997,76.15768480633812
"Nawapur, India",971785,21.21136955,73.96372877781741
"Nedumangad, India",1112532,8.6052249,77.0029782
"Neem-Ka-Thana, India",1322101,27.7360104,75.7854205
"Neemuch, India",679308,24.63044655,75.18339614635457
"Nehtaur, India",932477,,
"Nelamangala, India",774456,13.0953024,77.3963586
"Nellikuppam, India",946448,12.7490683,80.1064975
"Nellore, India",1650026,14.4493717,79.9873763
"Nepanagar, India",1144742,21.4641072,76.3968819
"New Delhi, India",260209,28.6138954,77.2090057
"Neyveli (TS), India",1096736,11.6125475,79.4916128
"Neyyattinkara, India",930580,8.4100639,77.0816275
"Nidadavole, India",1408176,16.9065631,81.65423521024772
"Nilambur, India",1039105,11.3033733,76.33758118764645
"Nilanga, India",1325032,18.08341865,76.79988271038852
"Nimbahera, India",473968,24.6258698,74.6866837
"Nirmal, India",672756,19.091520950000003,78.39660898429065
"Nizamabad, India",627449,26.055317950000003,82.99313867937335
"Nohar, India",596777,29.1841366,74.7691392
"Noida, India",463122,28.5707841,77.3271074
"Nokha, India",2410357,25.083159950000002,84.09316346858087
"Nongstoin, India",350587,25.572639449999997,91.25408026691981
"Noorpur, India",1064568,27.2263944,77.6472902
"North Lakhimpur, India",815979,27.160901099999997,94.16266801115614
"Nowgong, India",625936,26.133333,92.666667
"Nuzvid, India",1528494,16.7907012,80.8476103
"Oddanchatram, India",1443941,10.551039750000001,77.72741028555566
"Ongole, India",898698,15.5075545,80.06080046754784
"Orai, India",1176048,25.9359555,79.42432768008604
"Osmanabad, India",1045910,18.16984395,76.11796321159572
"Ottappalam, India",1545133,10.85532885,76.35642468454839
"Ozar, India",1003538,20.4775218,73.8630714
"Pachora, India",463391,20.65625755,75.4011069175395
"Padra, India",1572795,25.3627965,75.9244966
"Padrauna, India",1261368,27.03180635,83.90103804538502
"Paithan, India",961502,19.4733594,75.3868103
"Pakaur, India",550408,24.64788505,87.84290308567452
"Palacole, India",1448660,16.53137155,81.68553062260926
"Palakkad, India",419214,10.78789845,76.47408711165895
"Palani, India",649085,10.497812750000001,77.50049340214429
"Palanpur, India",1238468,24.170100599999998,72.43169574086093
"Palasa Kasibugga, India",1687157,18.7722643,84.4099942
"Palghar, India",1031615,19.68086385,72.82537342511341
"Pali, India",749220,25.6040908,73.41560878556902
"Palia Kalan, India",402626,28.4312733,80.5810023
"Palitana, India",913235,21.5236104,71.8219597
"Palladam, India",820287,10.9708115,77.28172616917558
"Palwal, India",521113,28.176958900000002,77.37311203790532
"Palwancha, India",614347,17.5976713,80.7057072
"Panaji, India",404861,15.4989946,73.8282141
"Panchkula, India",676830,30.7137692,76.86827600027706
"Pandharkaoda, India",915276,,
"Pandharpur, India",1591077,17.7255921,75.30019362933085
"Pandhurna, India",1499485,21.5954798,78.5258489
"Pandua, India",677011,23.07026605,88.25833944146513
"Panipat, India",1542399,29.3912753,76.9771675
"Panna, India",152346,24.5,80.25
"Panruti, India",1081700,11.71597955,79.52096942061098
"Panvel, India",1061734,18.96558885,73.10288130582491
"Pappinisseri, India",758155,11.95398495,75.35236588122478
"Paradip, India",261358,20.286946049999997,86.67399790661415
"Paramakudi, India",706700,9.48671505,78.67227177440276
"Paravoor, India",1623438,12.126429,75.337317
"Parbhani, India",380226,19.29031365,76.60290343431203
"Parlakhemundi, India",632456,18.785724,84.0816192
"Parli, India",1036655,26.9238875,76.9112706
"Partur, India",611983,19.484898,76.25924877618277
"Parvathipuram, India",1553989,18.7649439,83.34458762599236
"Pasan, India",1078532,22.8440999,82.1982942
"Paschim Punropara, India",1020765,,
"Patan, India",530133,23.77405735,71.68373465668734
"Pathanamthitta, India",550328,9.278084100000001,76.97374429915658
"Pathankot, India",158943,32.2692452,75.6528858
"Pathri, India",1194468,19.219461199999998,76.4284157989699
"Patiala, India",842145,30.2090874,76.3398720856221
"Patna, India",507114,25.6093239,85.1235252
"Patratu, India",622747,23.6310786,85.33447132277304
"Pattamundai, India",682739,20.5626441,86.59080686954783
"Patti, India",381180,25.94998965,82.18054488875742
"Pattukkottai, India",1093608,10.411803299999999,79.33776652736019
"Pavagada, India",1151618,14.1007288,77.2800053
"Pedana, India",509090,16.326251300000003,81.1516437879902
